STORAGE_BOOKS	Cãrþi
MODEL_DOG_MODE_STATUS	Model câine
OPTIONS_TEXTURES_STANDARD	Standard
OPTIONS_TEXTURES_SNOW	Zãpadã
OPTIONS_TEXTURES_DESERT	Deºert
OPTIONS_ENV_DAY	Zi
OPTIONS_ENV_NIGHT	Noapte
OPTIONS_FOG_ON	Activeazã
OPTIONS_FOG_OFF	Dezactiveazã
OPTIONS_NAMES_ON	Aratã
OPTIONS_NAMES_OFF	Ascunde
OPTION_PICKUP_MODE_STANDARD	Standard
OPTION_PICKUP_MODE_FAST	Rapid
GLOBAL_ANNOUNCE	Anunþuri globale
METIN_SCALE	Scalare pietre
FOV_SETTING	Câmp vizual
QUEST_SCROLLS	Afiºare misiuni
AFFECT_ICONS	Iconiþe affect
CHARACTER_BONUS_OFFENSIVE	Bonusuri Ofensive:
CHARACTER_BONUS_DEFENSIVE	Bonusuri Defensive:
CHARACTER_BONUS_REST	Alte Bonusuri:
CHARACTER_BONUS_TITLE	Bonusuri Caracter
CHATTING_SETTING_CANCLE	Anulare
CHATTING_SETTING_CLEAR	Resetare
CHATTING_SETTING_DEFAULT_TITLE	General
CHATTING_SETTING_DETAIL	Setãri sistem
CHATTING_SETTING_DICE	Zar
CHATTING_SETTING_DICE_SETTING	Setãri zar
CHATTING_SETTING_EXP	Experienþã
CHATTING_SETTING_GOLD	Monedã
CHATTING_SETTING_GUILD	Breaslã
CHATTING_SETTING_ITEM	Iteme
CHATTING_SETTING_LANGUAGE_1	Limbã 1
CHATTING_SETTING_LANGUAGE_2	Limbã 2
CHATTING_SETTING_LANGUAGE_3	Limbã 3
CHATTING_SETTING_LANGUAGE_CUR	Limbã curentã ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Filtru
CHATTING_SETTING_LIST	Listã
CHATTING_SETTING_NOTICE	Mesaj
CHATTING_SETTING_PARTY	Grup
CHATTING_SETTING_SAVE	Salveazã
CHATTING_SETTING_SHOUT	Strigã
CHATTING_SETTING_SYSTEM	Sistem
CHATTING_SETTING_TABNAME	Setãri nume chat
CHATTING_SETTING_TALKING	General
CHATTING_SETTING_TITLE	Setãri chat
INTERFACE_OPTIONS	Selectare interfaþã
INTERFACE_OPTIONS_1	Normalã
INTERFACE_OPTIONS_2	Stil Deimos
